Genotype	TimePoint	N	CumPerT	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 82	4	304342.75	105823.739	52911.869	168389.183	DARK	0.12551772	.
WT	 83	4	306742.00	106545.516	53272.758	169537.691	DARK	0.11757318	.
WT	 84	4	308451.00	106479.418	53239.709	169432.516	DARK	0.10822773	.
WT	 85	4	311049.50	106617.745	53308.872	169652.624	DARK	0.09850886	.
WT	 86	4	315979.25	106927.063	53463.532	170144.819	DARK	0.09305540	.
WT	 87	4	318573.50	108095.648	54047.824	172004.298	LIGHT	0.08790017	.
WT	 88	4	321194.00	108953.481	54476.741	173369.302	LIGHT	0.08757852	.
WT	 89	4	324527.50	109139.274	54569.637	173664.940	LIGHT	0.08620707	.
WT	 90	4	326172.50	109746.773	54873.386	174631.605	LIGHT	0.07720740	.
WT	 91	4	329103.25	110019.318	55009.659	175065.286	LIGHT	0.07759530	.
WT	 92	4	329989.25	110462.044	55231.022	175769.763	LIGHT	0.07058641	.
